127.0.0.1 - - [13/Dec/2023:15:30:28 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:30:28 +0900] "GET /MustHaveJSP/WEB-INF/classes/common/JDBConnect.java HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:32:00 +0900] "GET /MustHaveJSP/05JDBC/ConnectionTest.jsp HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:46:27 +0900] "GET /MustHaveJSP/05JDBC/ConnectionTest.jsp HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:50:52 +0900] "GET /MustHaveJSP/05JDBC/ConnectionTest.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [13/Dec/2023:16:03:48 +0900] "GET /MustHaveJSP/04Cookie/PopupMain.jsp HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [13/Dec/2023:16:07:45 +0900] "GET /MustHaveJSP/04Cookie/PopupMain.jsp HTTP/1.1" 200 1536
0:0:0:0:0:0:0:1 - - [13/Dec/2023:16:09:22 +0900] "GET /MustHaveJSP/04Cookie/PopupMain.jsp HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [13/Dec/2023:16:09:27 +0900] "GET /MustHaveJSP/04Cookie/PopupMain.jsp HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [13/Dec/2023:16:09:29 +0900] "GET /MustHaveJSP/04Cookie/PopupCookie.jsp?inactiveToday=1 HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [13/Dec/2023:16:09:29 +0900] "GET /MustHaveJSP/04Cookie/PopupMain.jsp HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [13/Dec/2023:16:09:30 +0900] "GET /MustHaveJSP/04Cookie/PopupMain.jsp HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [13/Dec/2023:16:09:31 +0900] "GET /MustHaveJSP/04Cookie/PopupMain.jsp HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [13/Dec/2023:16:14:24 +0900] "GET /MustHaveJSP/04Cookie/IdSaveMain.jsp HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [13/Dec/2023:16:14:31 +0900] "POST /MustHaveJSP/04Cookie/IdSaveProcess.jsp HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [13/Dec/2023:16:14:34 +0900] "GET /MustHaveJSP/04Cookie/IdSaveMain.jsp HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [13/Dec/2023:16:14:36 +0900] "GET /MustHaveJSP/04Cookie/IdSaveMain.jsp HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [13/Dec/2023:16:14:38 +0900] "GET /MustHaveJSP/04Cookie/IdSaveMain.jsp HTTP/1.1" 200 446
